clientID;descriptionID;frameNr;sizeInBytes;entryTimestamp;completedTimestamp;isSender
0;0;63;0;1751357204417;1751357204421;true
0;2;64;0;1751357204449;1751357204451;true
0;1;64;0;1751357204449;1751357204453;true
0;0;64;0;1751357204449;1751357204453;true
0;2;65;0;1751357204483;1751357204485;true
0;1;65;0;1751357204483;1751357204487;true
0;0;65;0;1751357204483;1751357204488;true
0;2;66;0;1751357204520;1751357204522;true
0;1;66;0;1751357204520;1751357204522;true
0;0;66;0;1751357204520;1751357204523;true
0;1;67;0;1751357204552;1751357204554;true
0;2;67;0;1751357204552;1751357204555;true
0;0;67;0;1751357204552;1751357204555;true
0;2;68;0;1751357204583;1751357204585;true
0;1;68;0;1751357204583;1751357204586;true
0;0;68;0;1751357204583;1751357204586;true
0;2;69;0;1751357204613;1751357204616;true
0;1;69;0;1751357204613;1751357204616;true
0;0;69;0;1751357204613;1751357204617;true
0;2;70;0;1751357204650;1751357204652;true
0;1;70;0;1751357204650;1751357204653;true
0;0;70;0;1751357204650;1751357204653;true
0;2;71;0;1751357204679;1751357204681;true
0;1;71;0;1751357204679;1751357204682;true
0;0;71;0;1751357204679;1751357204682;true
0;2;72;0;1751357204717;1751357204719;true
0;1;72;0;1751357204717;1751357204720;true
0;0;72;0;1751357204717;1751357204721;true
0;2;73;0;1751357204749;1751357204751;true
0;1;73;0;1751357204749;1751357204752;true
0;0;73;0;1751357204749;1751357204753;true
0;2;74;0;1751357204782;1751357204783;true
0;1;74;0;1751357204782;1751357204785;true
0;0;74;0;1751357204782;1751357204786;true
0;2;75;0;1751357204815;1751357204817;true
0;1;75;0;1751357204815;1751357204818;true
0;0;75;0;1751357204815;1751357204819;true
0;2;76;0;1751357204847;1751357204848;true
0;1;76;0;1751357204847;1751357204850;true
0;0;76;0;1751357204847;1751357204850;true
0;2;77;0;1751357204877;1751357204878;true
0;1;77;0;1751357204877;1751357204880;true
0;0;77;0;1751357204877;1751357204880;true
0;2;78;0;1751357204915;1751357204917;true
0;1;78;0;1751357204915;1751357204918;true
0;0;78;0;1751357204915;1751357204919;true
0;2;79;0;1751357204948;1751357204950;true
0;1;79;0;1751357204948;1751357204951;true
0;0;79;0;1751357204948;1751357204952;true
0;1;80;0;1751357204981;1751357204984;true
0;2;80;0;1751357204981;1751357204984;true
0;0;80;0;1751357204981;1751357204985;true
0;2;81;0;1751357205012;1751357205016;true
0;0;81;0;1751357205012;1751357205016;true
0;1;81;0;1751357205012;1751357205016;true
0;2;82;0;1751357205044;1751357205047;true
0;1;82;0;1751357205044;1751357205048;true
0;0;82;0;1751357205044;1751357205049;true
0;2;83;0;1751357205080;1751357205082;true
0;1;83;0;1751357205080;1751357205083;true
0;0;83;0;1751357205080;1751357205084;true
0;2;84;0;1751357205111;1751357205113;true
0;1;84;0;1751357205111;1751357205114;true
0;0;84;0;1751357205111;1751357205115;true
0;2;85;0;1751357205146;1751357205147;true
0;1;85;0;1751357205146;1751357205149;true
0;0;85;0;1751357205146;1751357205150;true
0;2;86;0;1751357205179;1751357205181;true
0;1;86;0;1751357205179;1751357205182;true
0;0;86;0;1751357205179;1751357205183;true
0;1;87;0;1751357205211;1751357205214;true
0;2;87;0;1751357205211;1751357205215;true
0;0;87;0;1751357205211;1751357205215;true
0;2;88;0;1751357205243;1751357205245;true
0;1;88;0;1751357205243;1751357205247;true
0;0;88;0;1751357205243;1751357205247;true
0;2;89;0;1751357205280;1751357205283;true
0;1;89;0;1751357205280;1751357205283;true
0;0;89;0;1751357205280;1751357205284;true
0;1;90;0;1751357205312;1751357205314;true
0;2;90;0;1751357205312;1751357205315;true
0;0;90;0;1751357205312;1751357205316;true
0;2;91;0;1751357205345;1751357205346;true
0;1;91;0;1751357205345;1751357205347;true
0;0;91;0;1751357205345;1751357205349;true
0;2;92;0;1751357205377;1751357205381;true
0;1;92;0;1751357205377;1751357205381;true
0;0;92;0;1751357205377;1751357205381;true
0;2;93;0;1751357205409;1751357205412;true
0;1;93;0;1751357205409;1751357205412;true
0;0;93;0;1751357205409;1751357205413;true
0;2;94;0;1751357205440;1751357205443;true
0;1;94;0;1751357205440;1751357205443;true
0;0;94;0;1751357205440;1751357205444;true
0;1;95;0;1751357205479;1751357205481;true
0;2;95;0;1751357205479;1751357205482;true
0;0;95;0;1751357205479;1751357205483;true
0;2;96;0;1751357205510;1751357205512;true
0;1;96;0;1751357205510;1751357205513;true
0;0;96;0;1751357205510;1751357205514;true
0;2;97;0;1751357205545;1751357205546;true
0;1;97;0;1751357205545;1751357205548;true
0;0;97;0;1751357205545;1751357205549;true
0;2;98;0;1751357205577;1751357205580;true
0;1;98;0;1751357205577;1751357205581;true
0;0;98;0;1751357205577;1751357205582;true
0;2;99;0;1751357205609;1751357205610;true
0;1;99;0;1751357205609;1751357205612;true
0;0;99;0;1751357205609;1751357205612;true
0;2;100;0;1751357205643;1751357205645;true
0;1;100;0;1751357205643;1751357205647;true
0;0;100;0;1751357205643;1751357205647;true
0;2;101;0;1751357205677;1751357205678;true
0;1;101;0;1751357205677;1751357205680;true
0;0;101;0;1751357205677;1751357205681;true
0;2;102;0;1751357205703;1751357205706;true
0;1;102;0;1751357205703;1751357205707;true
0;0;102;0;1751357205703;1751357205707;true
0;1;103;0;1751357205741;1751357205743;true
0;2;103;0;1751357205741;1751357205744;true
0;0;103;0;1751357205741;1751357205745;true
0;1;104;0;1751357205773;1751357205775;true
0;2;104;0;1751357205773;1751357205776;true
0;0;104;0;1751357205773;1751357205776;true
0;2;105;0;1751357205809;1751357205811;true
0;1;105;0;1751357205809;1751357205812;true
0;0;105;0;1751357205809;1751357205813;true
0;2;106;0;1751357205842;1751357205844;true
0;1;106;0;1751357205843;1751357205845;true
0;0;106;0;1751357205842;1751357205847;true
0;2;107;0;1751357205874;1751357205876;true
0;1;107;0;1751357205875;1751357205878;true
0;0;107;0;1751357205874;1751357205878;true
0;1;108;0;1751357205906;1751357205909;true
0;2;108;0;1751357205906;1751357205910;true
0;0;108;0;1751357205906;1751357205911;true
0;2;109;0;1751357205937;1751357205938;true
0;1;109;0;1751357205937;1751357205940;true
0;0;109;0;1751357205937;1751357205941;true
0;2;110;0;1751357205969;1751357205971;true
0;1;110;0;1751357205969;1751357205973;true
0;0;110;0;1751357205969;1751357205973;true
0;2;111;0;1751357206009;1751357206011;true
0;1;111;0;1751357206009;1751357206012;true
0;0;111;0;1751357206009;1751357206013;true
0;2;112;0;1751357206042;1751357206044;true
0;1;112;0;1751357206042;1751357206046;true
0;0;112;0;1751357206042;1751357206046;true
0;2;113;0;1751357206075;1751357206078;true
0;1;113;0;1751357206075;1751357206079;true
0;0;113;0;1751357206075;1751357206080;true
0;1;114;0;1751357206108;1751357206110;true
0;2;114;0;1751357206108;1751357206110;true
0;0;114;0;1751357206108;1751357206111;true
0;1;115;0;1751357206139;1751357206144;true
0;2;115;0;1751357206139;1751357206144;true
0;0;115;0;1751357206139;1751357206144;true
0;2;116;0;1751357206174;1751357206176;true
0;1;116;0;1751357206174;1751357206177;true
0;0;116;0;1751357206174;1751357206178;true
0;2;117;0;1751357206206;1751357206209;true
0;1;117;0;1751357206206;1751357206210;true
0;0;117;0;1751357206206;1751357206211;true
0;2;118;0;1751357206237;1751357206239;true
0;1;118;0;1751357206237;1751357206240;true
0;0;118;0;1751357206237;1751357206241;true
0;2;119;0;1751357206269;1751357206271;true
0;1;119;0;1751357206269;1751357206271;true
0;0;119;0;1751357206269;1751357206272;true
0;2;120;0;1751357206300;1751357206302;true
0;1;120;0;1751357206300;1751357206304;true
0;0;120;0;1751357206300;1751357206304;true
0;2;121;0;1751357206332;1751357206333;true
0;1;121;0;1751357206332;1751357206335;true
0;0;121;0;1751357206332;1751357206335;true
0;2;122;0;1751357206371;1751357206371;true
0;1;122;0;1751357206371;1751357206374;true
0;0;122;0;1751357206371;1751357206374;true
0;2;123;0;1751357206405;1751357206407;true
0;1;123;0;1751357206405;1751357206409;true
0;0;123;0;1751357206405;1751357206409;true
0;2;124;0;1751357206437;1751357206440;true
0;1;124;0;1751357206437;1751357206440;true
0;0;124;0;1751357206437;1751357206441;true
0;2;125;0;1751357206468;1751357206470;true
0;1;125;0;1751357206468;1751357206471;true
0;0;125;0;1751357206468;1751357206472;true
0;2;126;0;1751357206505;1751357206506;true
0;1;126;0;1751357206505;1751357206507;true
0;0;126;0;1751357206505;1751357206508;true
0;2;127;0;1751357206535;1751357206537;true
0;1;127;0;1751357206535;1751357206538;true
0;0;127;0;1751357206535;1751357206539;true
0;1;128;0;1751357206571;1751357206573;true
0;2;128;0;1751357206571;1751357206574;true
0;0;128;0;1751357206571;1751357206575;true
0;2;129;0;1751357206602;1751357206604;true
0;1;129;0;1751357206603;1751357206605;true
0;0;129;0;1751357206603;1751357206606;true
0;2;130;0;1751357206634;1751357206636;true
0;1;130;0;1751357206634;1751357206637;true
0;0;130;0;1751357206634;1751357206638;true
0;2;131;0;1751357206666;1751357206667;true
0;1;131;0;1751357206666;1751357206669;true
0;0;131;0;1751357206666;1751357206670;true
0;2;132;0;1751357206704;1751357206706;true
0;1;132;0;1751357206704;1751357206706;true
0;0;132;0;1751357206704;1751357206707;true
0;2;133;0;1751357206736;1751357206738;true
0;1;133;0;1751357206737;1751357206740;true
0;0;133;0;1751357206736;1751357206740;true
0;2;134;0;1751357206768;1751357206770;true
0;1;134;0;1751357206768;1751357206771;true
0;0;134;0;1751357206768;1751357206771;true
