frame_nr;sampler_ratio;original_size;encoded_size;encoding_time
475;60;2235465;187807;18
476;60;2241090;188457;17
477;60;2240205;187472;17
478;60;2242230;187278;17
479;60;2241210;187707;18
480;60;2236740;188463;20
481;60;2242170;189438;17
482;60;2252910;189671;29
483;60;2231265;187482;17
484;60;2235255;188211;17
485;60;2230785;188712;17
486;60;2239560;187941;17
487;60;2238300;188037;17
488;60;2251950;189562;18
489;60;2238375;188786;17
490;60;2242440;188442;17
491;60;2240370;188870;16
492;60;2224965;188426;16
493;60;2233905;188109;23
494;60;2247900;187399;20
495;60;2227170;188709;19
496;60;2237400;187857;17
497;60;2233515;188990;18
498;60;2240760;188144;16
499;60;2247120;189496;17
500;60;2236140;188465;17
501;60;2236785;190058;16
502;60;2228985;188960;17
503;60;2240625;190220;22
504;60;2234715;189480;20
505;60;2245845;189231;17
506;60;2251920;190344;18
507;60;2248635;189313;17
508;60;2248050;187121;17
509;60;2241705;187618;17
510;60;2238930;186578;16
511;60;2234235;184273;17
512;60;2199075;182899;17
513;60;2195550;180555;17
514;60;2165580;178667;17
515;60;2158950;179189;16
516;60;2153895;175856;15
517;60;2145450;176387;15
518;60;2135760;176900;15
519;60;2129235;174021;15
520;60;2123190;173871;15
521;60;2097405;171791;15
522;60;2115915;172542;16
523;60;2111415;171628;17
524;60;2099430;170845;17
525;60;2089215;169792;15
526;60;2106900;171334;16
527;60;2104560;170393;15
528;60;2090730;169919;15
529;60;2086800;169292;15
530;60;2101950;169891;15
531;60;2090640;169362;15
532;60;2097000;169510;15
533;60;2099145;170435;15
534;60;2106915;171390;19
535;60;2095050;170270;15
536;60;2103300;169820;15
537;60;2092590;169872;15
538;60;2101770;169246;15
539;60;2102430;168837;16
540;60;2096145;168195;16
541;60;2093220;169366;16
542;60;2088870;168554;15
543;60;2084775;168025;15
544;60;2083275;166253;15
545;60;2074620;166116;15
546;60;2075235;164971;17
547;60;2075265;165266;16
548;60;2081145;166809;18
549;60;2077440;165840;15
550;60;2073000;165322;16
551;60;2080410;165801;18
552;60;2081940;166224;15
553;60;2092170;165996;15
554;60;2090355;165652;15
555;60;2081415;166066;15
556;60;2089365;167149;16
557;60;2089200;168044;15
558;60;2090115;167560;15
559;60;2094255;156616;16
560;60;2100225;169196;15
561;60;2112360;169478;17
562;60;2114400;169361;15
563;60;2097075;169694;20
564;60;2092500;168446;17
565;60;2102250;169173;15
566;60;2104470;168887;15
567;60;2096340;167780;15
