frame_nr;sampler_ratio;original_size;encoded_size;encoding_time
452;15;2275875;56666;5
453;15;2270295;56097;5
454;15;2279370;56443;5
455;15;2277180;56310;5
456;15;2273055;56159;5
457;15;2263245;56155;5
458;15;2240115;56344;5
459;15;2229210;55932;5
460;15;2224245;56074;5
461;15;2223420;55922;4
462;15;2233305;56133;5
463;15;2231430;55932;5
464;15;2246160;56131;5
465;15;2213490;55455;5
466;15;2240175;55962;5
467;15;2214390;55927;4
468;15;2217840;55505;4
469;15;2236785;56139;5
470;15;2230020;56455;5
471;15;2236770;56350;5
472;15;2229480;56535;5
473;15;2238255;55963;5
474;15;2242350;55385;4
475;15;2235465;56230;4
476;15;2241090;55874;5
477;15;2240205;55870;5
478;15;2242230;55845;5
479;15;2241210;56238;5
480;15;2236740;56195;5
481;15;2242170;56078;5
482;15;2252910;56570;5
483;15;2231265;55873;5
484;15;2235255;55920;5
485;15;2230785;56564;4
486;15;2239560;55800;4
487;15;2238300;56351;5
488;15;2251950;56352;5
489;15;2238375;56154;4
490;15;2242440;55990;5
491;15;2240370;56490;5
492;15;2224965;55909;5
493;15;2233905;56285;4
494;15;2247900;55935;5
495;15;2227170;56122;5
496;15;2237400;55814;5
497;15;2233515;56292;5
498;15;2240760;55994;4
499;15;2247120;56048;5
500;15;2236140;55924;4
501;15;2236785;56707;5
502;15;2228985;56417;5
503;15;2240625;56408;5
504;15;2234715;56379;5
505;15;2245845;56610;6
506;15;2251920;56980;5
507;15;2248635;56350;5
508;15;2248050;55883;5
509;15;2241705;56002;4
510;15;2238930;55851;9
511;15;2234235;54910;5
512;15;2199075;54817;5
513;15;2195550;54179;4
514;15;2165580;53624;4
515;15;2158950;53122;4
516;15;2153895;52271;4
517;15;2145450;52678;4
518;15;2135760;52787;5
519;15;2129235;51791;5
520;15;2123190;51057;5
521;15;2097405;51408;4
522;15;2115915;51706;4
523;15;2111415;51169;4
524;15;2099430;50800;4
525;15;2089215;50481;4
526;15;2106900;51067;4
527;15;2104560;50828;4
528;15;2090730;50950;4
529;15;2086800;50673;5
530;15;2101950;50825;4
531;15;2090640;50776;4
